,index_left,culture,food_drink,hotel,pub_bar,school,shop_mall,undefined
56,81.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
57,82.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
58,84.0,0.0,3.0,0.0,1.0,0.0,0.0,8.0
59,86.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
60,87.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
61,89.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
62,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63,92.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
64,93.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
65,94.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0
66,95.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0
67,96.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
68,97.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0
69,98.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
70,99.0,1.0,3.0,0.0,0.0,0.0,1.0,5.0
71,100.0,0.0,6.0,1.0,0.0,0.0,4.0,5.0
72,101.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
73,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,104.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,106.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
78,107.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
79,110.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
80,113.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
81,115.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
82,116.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83,119.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
84,120.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
85,121.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
86,123.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
87,124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,126.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,127.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,131.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
92,132.0,0.0,1.0,0.0,2.0,0.0,4.0,6.0
93,133.0,2.0,2.0,0.0,0.0,0.0,12.0,6.0
94,134.0,1.0,1.0,0.0,1.0,0.0,6.0,2.0
95,135.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
96,136.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,137.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
98,138.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0
99,140.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,141.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
101,142.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
102,143.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
103,144.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
104,145.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
105,146.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
106,147.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
107,148.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,149.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
109,150.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0
110,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,152.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
112,154.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
