,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
36,36,-0.12222,51.536898,POINT (530331.7933772695 183670.2979660161),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,15,74.0,17.340977493485234
40,40,-0.148855,51.542888,POINT (528467.7891777422 184289.3367798657),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,10,16,676.0,10.61596928955502
41,41,-0.141736,51.546292,POINT (528951.8146542788 184680.3917033249),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,13,590.0,8.256661081342559
42,42,-0.169417,51.557338,POINT (527001.7737181295 185860.3658849944),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,7,1409.0,18.844702816899545
43,43,-0.119262,51.517696,POINT (530591.8188861582 181540.2352325201),3 slight,1,Sunday,2 one-way st,2 30 mph,3 t/stag jun,1 auth person,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,19,202.0,12.819036376180176
45,45,-0.117526,51.517848,POINT (530711.8268510825 181560.2350767871),3 slight,1,Monday,6 single cwy,2 30 mph,8 priv drive,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,19,199.0,7.79822164228659
49,49,-0.125198,51.541622,POINT (530111.8053191905 184190.3285715546),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,11,23,23.0,12.04776317916011
50,50,-0.126679,51.525216,POINT (530055.8222234711 182363.2873470209),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,10,18,289.0,2.639686970980839
52,52,-0.133556,51.545649,POINT (529520.8089602079 184623.3273321294),3 slight,1,Tuesday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,12,16,400.0,3.106777756949471
53,53,-0.192275,51.541146,POINT (525461.7623484199 184020.3233875047),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,12,1712.0,5.2811739740014305
60,60,-0.120134,51.519635,POINT (530525.7807374424 181754.3043056353),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,3 road sign def,0 none,2017,2,17,181.0,9.84557599302304
61,61,-0.171234,51.544417,POINT (526911.7441536018 184420.3380692563),2 serious,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,1,8,1210.0,14.718657999287942
62,62,-0.106993,51.518129,POINT (531441.789608859 181610.3347212807),2 serious,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,17,86.0,16.081748397274126
63,63,-0.110306,51.522004,POINT (531200.8098312928 182035.307036481),2 serious,1,Wednesday,6 single cwy,2 30 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,11,18,129.0,1.2291350422842746
64,64,-0.194966,51.553327,POINT (525241.7309768002 185370.3043607863),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,3,16,1765.0,5.314745468562125
65,65,-0.137558,51.542664,POINT (529251.7730960569 184284.3102635865),2 serious,1,Wednesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,15,475.0,17.03374240542427
66,66,-0.167255,51.553707,POINT (527161.7606681184 185460.3345011221),2 serious,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,12,1129.0,7.66923417279513
69,69,-0.191385,51.549046,POINT (525501.7584904453 184900.3679721373),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,7,1674.0,9.929608514168518
70,70,-0.124089,51.530004,POINT (530221.8346271995 182900.3336666901),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,9 other jun,2 auto sig,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,5,23,50.0,14.039727146569417
71,71,-0.149286,51.55927,POINT (528391.8090661134 186110.3322389748),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,8,1369.0,9.816924210157877
72,72,-0.192591,51.555,POINT (525401.782825595 185560.4163884569),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,8,1549.0,6.5871925485799
73,73,-0.151382,51.543521,POINT (528290.784466453 184355.2980790096),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,5,23,956.0,9.120323546020785
75,75,-0.138619,51.527268,POINT (529221.7612038149 182570.3402427914),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,9 unknown,1 road-dry,0 none,0 none,2016,11,8,853.0,9.504839518886788
77,77,-0.139953,51.540508,POINT (529091.795861372 184040.328636486),3 slight,1,Sunday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,13,466.0,2.573616522166978
79,79,-0.144966,51.5378,POINT (528751.8053442586 183730.3608261542),3 slight,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2015,2,13,633.0,2.224119901681602
80,80,-0.142617,51.538842,POINT (528911.7645546736 183850.368768339),3 slight,3,Monday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,3,11,603.0,15.445687533488563
82,82,-0.119879,51.516717,POINT (530551.8088117969 181430.2670297231),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,13,197.0,7.118819022567861
