,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
1919,2126,-0.15517,51.545784,POINT (528021.7760125706 184600.3229012486),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,12,14
1920,2127,-0.125746,51.542323,POINT (530071.8080181661 184267.3088295013),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,9,8
1921,2128,-0.11975,51.516355,POINT (530561.7932809955 181390.2413334129),3 slight,1,Thursday,3 dual cwy,3 40 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,4
1922,2129,-0.113618,51.521743,POINT (530971.7950916513 182000.3545189028),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,4,7
1923,2130,-0.138037,51.548571,POINT (529201.8381284648 184940.3480568094),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,12,21
1924,2131,-0.124695,51.525436,POINT (530192.8215484921 182391.2775538854),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,2 raining,1 road-dry,0 none,0 none,2018,10,19
1925,2132,-0.153584,51.545759,POINT (528131.8148071625 184600.3173515607),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,10,20
1926,2133,-0.13476,51.550758,POINT (529422.8395944892 185189.3402879605),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,10,12
1927,2134,-0.130333,51.516273,POINT (529827.7609486787 181362.3097369281),2 serious,2,Monday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,14
1928,2135,-0.127872,51.528482,POINT (529963.7732802567 182724.360741016),3 slight,2,Saturday,3 dual cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,6,13
1929,2136,-0.115888,51.52436,POINT (530806.8242453523 182287.316866531),3 slight,1,Wednesday,3 dual cwy,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,2 dark,1 fine,1 road-dry,1 traf sig out,0 none,2019,10,19
1930,2137,-0.141646,51.552046,POINT (528941.7984724797 185320.4199450295),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,9 unknown (s/r),1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,14
1931,2138,-0.193727,51.555467,POINT (525321.7489372565 185610.4038018357),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,2 road-wet,0 none,0 none,2015,12,11
1932,2140,-0.124256,51.518945,POINT (530241.7773561416 181670.2354183415),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,17
1933,2141,-0.126926,51.513592,POINT (530071.7753823543 181070.2179289946),3 slight,1,Tuesday,2 one-way st,2 30 mph,1 roundabout,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,10,7
1934,2142,-0.133969,51.545422,POINT (529492.8166816881 184597.3534069863),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,17
1935,2143,-0.143533,51.542903,POINT (528836.7818856161 184300.3567171112),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,4 roadworks,2 other object in cwy,2017,9,8
1936,2144,-0.149433,51.53787,POINT (528441.8257029192 183730.2996027783),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,10,5
1937,2145,-0.13662,51.552559,POINT (529288.7847850558 185386.3325001469),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,8,4
1938,2146,-0.175479,51.560859,POINT (526571.7900604727 186241.4185753724),3 slight,1,Saturday,9 unknown,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),2 dark,1 fine,1 road-dry,0 none,0 none,2019,12,18
1939,2147,-0.149229,51.542903,POINT (528441.8132751903 184290.348658406),3 slight,2,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,9,20
1940,2148,-0.133752,51.526417,POINT (529561.7748339286 182484.3054054787),2 serious,1,Wednesday,2 one-way st,2 30 mph,6 crossroads,9 unknown (s/r),9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2019,11,13
1941,2149,-0.187354,51.552491,POINT (525771.7438826108 185290.3870975549),2 serious,3,Friday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,8,22
1942,2150,-0.123809,51.530161,POINT (530240.8079532515 182918.290633624),2 serious,1,Thursday,3 dual cwy,2 30 mph,7 multi jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2019,11,5
1943,2151,-0.128617,51.528242,POINT (529912.7803329824 182696.3498731272),3 slight,1,Monday,3 dual cwy,3 40 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,7,23
1944,2153,-0.126073,51.516816,POINT (530121.780886376 181430.2532943875),3 slight,1,Monday,2 one-way st,2 30 mph,9 other jun,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,7,17
1945,2154,-0.129717,51.527774,POINT (529837.8107445746 182642.3555691253),3 slight,1,Thursday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,8 central refuge,2 dark,1 fine,2 road-wet,0 none,0 none,2019,11,1
1946,2155,-0.17007,51.541072,POINT (527001.760071937 184050.3769783954),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,8,23
1947,2156,-0.196313,51.552089,POINT (525151.7437583855 185230.3287780146),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,9,18
1948,2158,-0.1268,51.516648,POINT (530071.8191923429 181410.2797088449),3 slight,1,Monday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,12
1949,2160,-0.193553,51.538018,POINT (525381.7293188714 183670.285366329),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,8
1950,2161,-0.141221,51.551859,POINT (528971.7910992828 185300.373405595),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,9,8
1951,2162,-0.165215,51.550618,POINT (527311.8007340991 185120.3687614708),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,16
1952,2164,-0.196053,51.544082,POINT (525191.7276929832 184340.3542652465),3 slight,1,Saturday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,8,3
1953,2165,-0.13838,51.533109,POINT (529221.8126072158 183220.3043375352),3 slight,1,Friday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2015,5,18
1954,2171,-0.140684,51.550861,POINT (529011.8412271733 185190.3376839623),3 slight,1,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,6,13
1955,2172,-0.12426,51.539188,POINT (530183.7893587948 183921.3255791422),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,4 fine/high winds,1 road-dry,0 none,2 other object in cwy,2017,9,18
1956,2173,-0.145229,51.531329,POINT (528751.8096505431 183010.2964560454),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,5,21
1957,2174,-0.162959,51.549324,POINT (527471.8227568453 184980.3956861306),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,9,22
1958,2177,-0.194463,51.557654,POINT (525264.7237155268 185852.3498283006),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2019,11,19
1959,2179,-0.139673,51.543831,POINT (529101.8151275949 184410.3538562019),3 slight,1,Thursday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2018,11,9
1960,2180,-0.126361,51.513314,POINT (530111.7698438668 181040.3068929065),3 slight,1,Monday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,11,9
1961,2181,-0.13042,51.547911,POINT (529731.8209786491 184880.4238134635),3 slight,1,Friday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,11,18
1962,2182,-0.152355,51.552242,POINT (528198.8197334551 185323.4076508727),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,7,14
1963,2185,-0.135585,51.541518,POINT (529391.8321934114 184160.3553285784),2 serious,1,Sunday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,2 raining,2 road-wet,0 none,0 none,2017,2,18
1964,2186,-0.129256,51.516507,POINT (529901.8198836612 181390.2410549283),3 slight,1,Tuesday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,17
1965,2187,-0.160287,51.544066,POINT (527671.7827467321 184400.3380781315),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,9 unknown (s/r),8 central refuge,2 dark,1 fine,1 road-dry,0 none,0 none,2018,3,19
1966,2191,-0.132656,51.546148,POINT (529581.7957994039 184680.4108268353),3 slight,1,Thursday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,8
1967,2192,-0.14121,51.552129,POINT (528971.7906798003 185330.4179658015),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,1,15
1968,2193,-0.12464,51.527135,POINT (530191.7942912317 182580.3104172077),3 slight,1,Tuesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,18
1969,2194,-0.153305,51.549082,POINT (528141.8307498255 184970.338120939),3 slight,3,Friday,6 single cwy,1 <= 20 mph,99 unknown (s/r),9 unknown (s/r),0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,4,17
1970,2195,-0.109507,51.520058,POINT (531261.8296013533 181820.3369927502),3 slight,1,Tuesday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,8,17
1971,2196,-0.123098,51.515204,POINT (530332.7866369907 181256.2830386887),3 slight,1,Friday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2019,9,6
1972,2197,-0.131555,51.527245,POINT (529711.8214339059 182580.271478736),3 slight,1,Sunday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,8,12
1973,2198,-0.127583,51.515132,POINT (530021.8072303392 181240.304808381),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,9
1974,2199,-0.14567,51.541768,POINT (528691.7987439244 184170.3814847462),3 slight,1,Friday,2 one-way st,1 <= 20 mph,5 slip road,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2018,3,22
1975,2200,-0.17499,51.543522,POINT (526653.7886392848 184314.3057443504),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,3,23
1976,2201,-0.186566,51.540024,POINT (525860.7426819387 183905.349578772),3 slight,1,Sunday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2019,3,23
1977,2202,-0.125346,51.541535,POINT (530101.7904583905 184180.3908196751),3 slight,2,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,9
1978,2203,-0.191511,51.549497,POINT (525491.7826263509 184950.3054516807),3 slight,1,Tuesday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,8 central refuge,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,18
1979,2204,-0.182412,51.549806,POINT (526121.778140259 185000.3039690056),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,18
1980,2206,-0.117818,51.517763,POINT (530691.811230265 181550.2616733247),3 slight,1,Monday,3 dual cwy,3 40 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,10
1981,2207,-0.139888,51.524068,POINT (529142.7832215468 182212.2492172879),3 slight,1,Sunday,9 unknown,2 30 mph,3 t/stag jun,9 unknown (s/r),9 unknown (s/r),2 dark,9 unknown,1 road-dry,9 unknown (s/r),0 none,2017,3,19
1982,2208,-0.171468,51.542173,POINT (526901.7562826284 184170.3892359313),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,4,18
1983,2209,-0.127572,51.516822,POINT (530017.761846377 181428.2583567453),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,9 unknown (s/r),0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,13
1984,2211,-0.177407,51.555934,POINT (526451.800159839 185690.401886177),3 slight,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,4,9
1985,2212,-0.128053,51.524761,POINT (529961.8048664398 182310.2503618221),3 slight,2,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2015,10,16
1986,2213,-0.143223,51.546612,POINT (528847.8084352216 184713.3589424606),3 slight,1,Saturday,6 single cwy,2 30 mph,7 multi jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2019,2,22
1987,2214,-0.119121,51.528126,POINT (530571.7877116477 182700.3397890374),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,11,11
1988,2216,-0.140257,51.554272,POINT (529031.8002477285 185570.4083812168),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,10,15
1989,2217,-0.13861,51.527834,POINT (529220.7842744179 182633.2975414906),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,10,13
1990,2218,-0.132884,51.519443,POINT (529641.7737413099 181710.3064687069),3 slight,1,Friday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,2,16
1991,2219,-0.153517,51.54387,POINT (528141.7628396864 184390.3694583781),3 slight,1,Sunday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2016,10,0
1992,2220,-0.143999,51.540302,POINT (528811.8071692764 184010.2945719573),3 slight,1,Monday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,9,18
1993,2222,-0.131131,51.530566,POINT (529731.7991592886 182950.330535),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,1
1994,2224,-0.18036,51.561465,POINT (526231.7899767611 186300.3800056997),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,12,9
1995,2225,-0.13,51.526501,POINT (529821.7986257483 182500.2914112663),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,11,9
1996,2226,-0.123433,51.517934,POINT (530301.7582375881 181559.272546517),3 slight,1,Monday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,2 road-wet,0 none,0 none,2019,8,5
1997,2227,-0.148812,51.542878,POINT (528470.7990007518 184288.3001890229),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,2 dark,1 fine,2 road-wet,0 none,0 none,2019,8,0
1998,2228,-0.198437,51.54214,POINT (525031.7394134821 184120.3203954241),3 slight,1,Tuesday,6 single cwy,2 30 mph,9 other jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,4 fine/high winds,1 road-dry,0 none,0 none,2017,11,10
1999,2229,-0.179423,51.541577,POINT (526351.7840151744 184090.3532272729),3 slight,1,Sunday,1 roundabout,1 <= 20 mph,1 roundabout,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,8,18
2000,2230,-0.1686,51.538171,POINT (527111.772316147 183730.3234607166),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,1,20
2001,2231,-0.127137,51.522499,POINT (530031.7850261125 182060.3336235465),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,10,11
2002,2233,-0.122334,51.534112,POINT (530331.8388878731 183360.2812044133),2 serious,1,Saturday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,5,9
2003,2235,-0.130128,51.516341,POINT (529841.7909896525 181370.2349919594),3 slight,1,Saturday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,6,18
2004,2236,-0.125787,51.54307,POINT (530066.8367082854 184350.3053716347),3 slight,1,Sunday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,14
2005,2238,-0.13208,51.528513,POINT (529671.8049807665 182720.3481234662),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,18
2006,2239,-0.162374,51.54239,POINT (527531.7525316167 184210.3219989602),3 slight,1,Tuesday,6 single cwy,2 30 mph,6 crossroads,9 unknown (s/r),1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,11
2007,2240,-0.134344,51.526031,POINT (529521.8044253842 182440.3334981249),3 slight,1,Thursday,3 dual cwy,2 30 mph,0 no jun in 20m,-2 not applicable,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,3,15
2008,2241,-0.121082,51.519021,POINT (530461.7649333411 181684.3361825108),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,9
2009,2242,-0.117855,51.520372,POINT (530681.7818643402 181840.3255170013),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,8
2010,2243,-0.127953,51.524733,POINT (529968.8214119931 182307.3141300669),3 slight,1,Monday,9 unknown,2 30 mph,6 crossroads,2 auto sig,9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2019,11,9
2011,2244,-0.127713,51.515494,POINT (530011.7574585662 181280.329718908),3 slight,1,Saturday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,2,20
2012,2246,-0.131233,51.521035,POINT (529751.7939194212 181890.2665806986),2 serious,1,Sunday,2 one-way st,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,11
2013,2248,-0.171792,51.552069,POINT (526851.7852483538 185270.3096229326),3 slight,1,Friday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,6,16
2014,2249,-0.138727,51.556406,POINT (529131.8269709848 185810.4165661654),3 slight,1,Wednesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2016,1,18
2015,2250,-0.138754,51.548672,POINT (529151.8407862429 184950.314523839),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,6,15
2016,2251,-0.177402,51.545232,POINT (526481.8009896252 184500.2961341772),3 slight,1,Wednesday,3 dual cwy,2 30 mph,9 other jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,6,13
2017,2252,-0.164833,51.535747,POINT (527379.7708820712 183467.3102145595),3 slight,1,Sunday,3 dual cwy,2 30 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,2,5
2018,2253,-0.124315,51.529783,POINT (530206.7891163137 182875.3557518313),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,5 slip road,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,5 surface defect,0 none,2019,8,10
2019,2254,-0.194825,51.553235,POINT (525251.7584324769 185360.314720707),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,2,16
2020,2255,-0.13672,51.539872,POINT (529317.7895452662 183975.3080899584),3 slight,1,Monday,2 one-way st,2 30 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,11,12
2021,2256,-0.146068,51.55609,POINT (528623.8335490851 185762.3512366391),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,16
2022,2257,-0.191606,51.53619,POINT (525521.7770411758 183470.3387111145),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,1,15
2023,2259,-0.133211,51.532577,POINT (529581.8243245498 183170.2785674788),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,5,20
2024,2260,-0.140222,51.537455,POINT (529081.772903437 183700.3481546218),3 slight,1,Sunday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,13
2025,2261,-0.125604,51.531737,POINT (530111.8158064509 183090.3567032249),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,9 other jun,4 give way/uncontrolled,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,3,13
2026,2262,-0.110438,51.521961,POINT (531191.7760931014 182030.2888129997),3 slight,1,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,1,12
2027,2263,-0.124903,51.540368,POINT (530135.8359334962 184051.4031155032),3 slight,2,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2019,10,16
