,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
36,36,-0.12222,51.536898,POINT (530331.7933772695 183670.2979660161),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,4,15
37,37,-0.1527,51.549792,POINT (528181.782655285 185050.3524620237),3 slight,1,Sunday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2015,2,8
38,38,-0.144719,51.547418,POINT (528741.8088656734 184800.3577759103),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,5,11
39,39,-0.195435,51.557148,POINT (525198.7336039352 185794.4171210575),3 slight,1,Monday,2 one-way st,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,9,16
40,40,-0.148855,51.542888,POINT (528467.7891777422 184289.3367798657),3 slight,2,Tuesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,10,16
41,41,-0.141736,51.546292,POINT (528951.8146542788 184680.3917033249),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,10,13
42,42,-0.169417,51.557338,POINT (527001.7737181295 185860.3658849944),3 slight,1,Wednesday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,6,7
43,43,-0.119262,51.517696,POINT (530591.8188861582 181540.2352325201),3 slight,1,Sunday,2 one-way st,2 30 mph,3 t/stag jun,1 auth person,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,19
44,44,-0.144519,51.538152,POINT (528781.8116219352 183770.2908179131),3 slight,1,Wednesday,2 one-way st,2 30 mph,0 no jun in 20m,-2 not applicable,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2016,6,22
45,45,-0.117526,51.517848,POINT (530711.8268510825 181560.2350767871),3 slight,1,Monday,6 single cwy,2 30 mph,8 priv drive,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2015,10,19
